Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,2023-01-15 07:02:04,,,,,,,,,,100.00,"EUR",,,"Transaction ID: HK72WTLXGJJDPK52",c954e5b4-a519-4021-b508-b6f9c6b6f308,,
Market buy,2023-01-16 08:15:01,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.3079980000,11.50,GBP,0.88606,,"EUR",30.00,"EUR",,,,EOF2217520876,0.04,"EUR"
Market buy,2023-01-16 08:15:02,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.7041970000,28.40,EUR,1.00000,,"EUR",20.00,"EUR",,,,EOF2217520955,,
Market buy,2023-01-16 08:15:02,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.1047269000,382.04,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF2217520967,,
Market buy,2023-01-16 08:15:04,IE00B579F325,SGLD,"Invesco Physical Gold",0.0583739000,184.87,USD,1.08132,,"EUR",9.99,"EUR",,,,EOF2217521151,0.01,"EUR"
Deposit,2023-02-15 07:01:42,,,,,,,,,,100.00,"EUR",,,"Transaction ID: KFGQ2S8GNP7NQPB2",95dce6fa-c04a-4be8-9c85-5fe5c567759b,,
Market buy,2023-02-15 08:05:12,IE00B579F325,SGLD,"Invesco Physical Gold",0.0603654000,177.06,USD,1.07097,,"EUR",9.99,"EUR",,,,EOF2270171736,0.01,"EUR"
Market buy,2023-02-15 08:05:12,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.1005551000,397.89,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF2270171739,,
Market buy,2023-02-15 08:05:12,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.7163280000,27.92,EUR,1.00000,,"EUR",20.00,"EUR",,,,EOF2270171764,,
Market buy,2023-02-15 08:05:25,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.2296200000,11.91,GBP,0.88663,,"EUR",30.00,"EUR",,,,EOF2270172932,0.04,"EUR"
Market sell,2023-03-03 08:00:13,FR0000121014,MC,"LVMH Moet Hennessy Louis Vuitton",0.0126426000,808.00,EUR,1.00000,2.22,"EUR",10.22,"EUR",,,,EOF2295563693,,
Deposit,2023-03-15 07:02:05,,,,,,,,,,100.00,"EUR",,,"Transaction ID: WMLRV9H9TW7KFXB2",ed74f2f1-0223-4301-be63-70b8c54ad455,,
Market buy,2023-03-15 08:05:13,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.7510280000,26.63,EUR,1.00000,,"EUR",20.00,"EUR",,,,EOF2314566001,,
Market buy,2023-03-15 08:05:13,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.1056534000,378.69,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF2314566041,,
Market buy,2023-03-15 08:05:14,IE00B579F325,SGLD,"Invesco Physical Gold",0.0586011000,182.93,USD,1.07413,,"EUR",9.99,"EUR",,,,EOF2314566143,0.01,"EUR"
Market buy,2023-03-15 08:05:15,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.3350410000,11.34,GBP,0.88366,,"EUR",30.00,"EUR",,,,EOF2314566397,0.04,"EUR"
Deposit,2023-04-15 06:03:26,,,,,,,,,,100.00,"EUR",,,"Transaction ID: MH6H3CGRTGC83VB2",77b91ae5-6bcc-4cf0-b9eb-c3436d7e1a55,,
Market buy,2023-04-17 07:05:03,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.1020088000,392.22,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF2363915044,,
Market buy,2023-04-17 07:05:03,IE00B579F325,SGLD,"Invesco Physical Gold",0.0189254000,194.44,USD,1.09846,,"EUR",3.36,"EUR",,,,EOF2363915073,0.01,"EUR"
Market buy,2023-04-17 07:05:04,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.1369060000,27.59,EUR,1.00000,,"EUR",3.78,"EUR",,,,EOF2363915131,,
Market buy,2023-04-17 07:05:06,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.5880330000,27.59,EUR,1.00000,,"EUR",16.22,"EUR",,,,EOF2363915298,,
Market buy,2023-04-17 07:05:07,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.2516980000,11.78,GBP,0.88504,,"EUR",30.00,"EUR",,,,EOF2363915383,0.04,"EUR"
Market buy,2023-04-17 07:05:08,IE00B579F325,SGLD,"Invesco Physical Gold",0.0374873000,194.44,USD,1.09940,,"EUR",6.64,"EUR",,,,EOF2363915681,0.01,"EUR"
Deposit,2023-05-15 06:05:30,,,,,,,,,,100.00,"EUR",,,"Transaction ID: L8BBJLH8Q9NXZP52",ec96e2e0-1af4-45e4-9a8f-eee855f17a71,,
Market buy,2023-05-15 07:05:18,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.1010682000,395.87,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF3023568645,,
Market buy,2023-05-15 07:05:19,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.7355060000,27.19,EUR,1.00000,,"EUR",20.00,"EUR",,,,EOF3023568820,,
Market buy,2023-05-15 07:05:27,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.2329190000,11.69,GBP,0.87124,,"EUR",29.99,"EUR",,,,EOF3023569778,0.04,"EUR"
Market buy,2023-05-15 07:05:36,IE00B579F325,SGLD,"Invesco Physical Gold",0.0556566000,194.94,USD,1.08714,,"EUR",9.99,"EUR",,,,EOF3023570771,0.01,"EUR"
Deposit,2023-06-15 06:00:52,,,,,,,,,,100.00,"EUR",,,"Transaction ID: PMLFC27FCMPPV832",11038200-9bbc-4c7e-8a19-636ee4a4ad85,,
Market buy,2023-06-15 07:05:07,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.6976620000,28.67,EUR,1.00000,,"EUR",20.00,"EUR",,,,EOF3099360959,,
Market buy,2023-06-15 07:05:08,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",0.0951009000,420.71,EUR,1.00000,,"EUR",40.01,"EUR",,,,EOF3099360989,,
Market buy,2023-06-15 07:05:08,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",2.1321230000,12.01,GBP,0.85469,,"EUR",30.00,"EUR",,,,EOF3099361048,0.04,"EUR"
Market buy,2023-06-15 07:05:11,IE00B579F325,SGLD,"Invesco Physical Gold",0.0578460000,186.45,USD,1.08070,,"EUR",9.99,"EUR",,,,EOF3099361339,0.01,"EUR"
Dividend (Ordinary),2023-06-19 11:04:16,ES0178430E18,TEF,"Telefonica",1.0322580600,0.12,EUR,Not available,,,0.13,"EUR",0.03,EUR,,,,
Interest on cash,2023-07-02 21:13:00,,,,,,,,,,0.01,"EUR",,,"Interest on cash",099260eb-761d-4483-a798-321e60e8ea41,,
Interest on cash,2023-07-30 21:06:31,,,,,,,,,,0.01,"EUR",,,"Interest on cash",42bcbdbd-a843-4b57-be4e-2b11bb0c35cc,,
Market sell,2023-08-08 11:48:38,IE00B4WPHX27,COMF,"L&G Longer Dated All Commodities (Acc)",1.5471780000,22.15,USD,1.09464,-6.15,"EUR",31.25,"EUR",,,,EOF3220628225,0.05,"EUR"
Market sell,2023-08-08 11:48:42,IE00B579F325,SGLD,"Invesco Physical Gold",0.5299642000,186.27,USD,1.09441,0.38,"EUR",90.06,"EUR",,,,EOF3220628227,0.14,"EUR"
Withdrawal,2023-08-08 11:51:40,,,,,,,,,,-130.00,"EUR",,,"Sent to card *5287",cb484395-a64a-4fba-9156-5ebcb31be890,,
Market sell,2023-08-09 07:11:40,ES0178430E18,TEF,"Telefonica",1.0322580600,3.55,EUR,1.00000,-0.63,"EUR",3.66,"EUR",,,,EOF3221738182,,
Market sell,2023-08-29 15:00:09,LU1829221024,LYMS,"Amundi Nasdaq-100 II (Acc)",0.4004780000,56.53,EUR,1.00000,2.64,"EUR",22.64,"EUR",,,,EOF3257086473,,
Market sell,2023-08-29 15:00:09,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",4.4392820000,12.20,GBP,0.86021,3.97,"EUR",62.86,"EUR",,,,EOF3257086475,0.09,"EUR"
Market sell,2023-08-29 15:00:09,IE00BG0J4C88,LOCK,"iShares Digital Security (Acc)",12.7428900000,6.41,EUR,1.00000,1.73,"EUR",81.73,"EUR",,,,EOF3257086479,,
Market sell,2023-08-29 15:00:12,IE00BKM4GZ66,EIMI,"iShares Core MSCI EM IMI (Acc)",1.3707190000,30.56,USD,1.08296,-1.26,"EUR",38.62,"EUR",,,,EOF3257086502,0.06,"EUR"
Market sell,2023-08-29 15:01:58,IE00B5BMR087,SXR8,"iShares Core S&P 500 (Acc)",1.1606064000,430.46,EUR,1.00000,39.52,"EUR",499.59,"EUR",,,,EOF3257086691,,
Market sell,2023-08-29 15:01:58,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",8.2806970000,28.23,EUR,1.00000,3.79,"EUR",233.79,"EUR",,,,EOF3257086689,,
Market sell,2023-08-29 15:01:58,LU1781541179,LCWL,"Amundi MSCI World V (Acc)",25.0579560000,12.19,GBP,0.86007,22.27,"EUR",354.68,"EUR",,,,EOF3257086693,0.53,"EUR"
Withdrawal,2023-08-29 15:06:07,,,,,,,,,,-1299.48,"EUR",,,"Sent to card *5287",9a78391c-3a52-4496-85e4-49f4d65f5be3,,